Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu,BDeu_lower_index,BDeu_upper_index
AT5G53950,AT5G44030,"CESA4,IRX5,NWS2",6.0,6.0,-119.890683338,8,9
AT5G47220,AT5G44030,"CESA4,IRX5,NWS2",3.0,6.0,-251.621985774,183,184
AT5G39610,AT5G44030,"CESA4,IRX5,NWS2",3.0,6.0,-173.344787186,107,108
AT5G12870,AT5G44030,"CESA4,IRX5,NWS2",5.0,6.0,-211.786648187,139,141
AT4G37260,AT5G44030,"CESA4,IRX5,NWS2",6.0,6.0,-122.49485275,14,83
AT1G75490,AT5G44030,"CESA4,IRX5,NWS2",6.0,6.0,-88.1165272419,0,1
AT1G56650,AT5G44030,"CESA4,IRX5,NWS2",5.0,6.0,-122.49485275,14,83
