Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu,BDeu_lower_index,BDeu_upper_index
AT5G12870,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",5.0,6.0,-182.651548674,118,120
AT4G37260,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",6.0,6.0,-91.5679943234,10,79
AT5G39610,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",3.0,6.0,-174.287394961,111,112
AT5G47220,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",3.0,6.0,-235.455099982,173,174
AT5G53950,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",6.0,6.0,-88.1165272419,5,7
AT1G79840,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",4.0,6.0,-190.642942896,130,131
AT5G13330,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",6.0,6.0,-173.026665301,110,111
AT5G25890,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",5.0,6.0,-91.5679943234,10,79
AT1G56650,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",5.0,6.0,-91.5679943234,10,79
