Target,Source,BDeu
AT5G44030,AT1G75490,-88.116527241859
AT5G44030,AT4G28140,-107.174190562174
AT5G44030,AT5G59820,-107.174190562174
AT5G44030,AT2G18350,-107.174190562174
AT5G44030,AT5G66700,-107.174190562174
AT5G44030,AT1G59750,-112.08684269056
AT5G44030,AT3G15210,-118.637920726795
AT5G44030,AT5G19790,-118.637920726795
AT5G44030,AT5G53950,-119.890683338147
AT5G44030,AT3G56980,-120.846194537021
AT5G44030,AT1G03970,-121.721663041042
AT5G44030,AT5G58010,-121.801705735895
AT5G44030,AT1G27650,-121.801705735895
AT5G44030,AT1G67710,-121.801705735895
AT5G44030,AT3G58190,-122.494852749788
AT5G44030,AT1G49475,-122.494852749788
AT5G44030,AT1G77450,-122.494852749788
AT5G44030,AT4G29930,-122.494852749788
AT5G44030,AT5G17490,-122.494852749788
AT5G44030,AT5G51790,-122.494852749788
AT5G44030,AT1G74500,-122.494852749788
AT5G44030,AT3G03450,-122.494852749788
AT5G44030,AT3G56970,-122.494852749788
AT5G44030,AT1G10480,-122.494852749788
AT5G44030,AT2G40220,-122.494852749788
AT5G44030,AT2G44940,-122.494852749788
AT5G44030,AT3G11580,-122.494852749788
AT5G44030,AT3G18400,-122.494852749788
AT5G44030,AT5G60890,-122.494852749788
AT5G44030,AT3G50330,-122.494852749788
AT5G44030,AT5G03740,-122.494852749788
AT5G44030,AT1G36060,-122.494852749788
AT5G44030,AT1G43160,-122.494852749788
AT5G44030,AT2G23340,-122.494852749788
AT5G44030,AT3G03660,-122.494852749788
AT5G44030,AT1G71030,-122.494852749788
AT5G44030,AT2G25900,-122.494852749788
AT5G44030,AT3G01970,-122.494852749788
AT5G44030,AT3G16770,-122.494852749788
AT5G44030,AT3G60530,-122.494852749788
AT5G44030,AT4G00180,-122.494852749788
AT5G44030,AT4G00730,-122.494852749788
AT5G44030,AT5G12330,-122.494852749788
AT5G44030,AT1G56650,-122.494852749788
AT5G44030,AT2G40970,-122.494852749788
AT5G44030,AT3G17600,-122.494852749788
AT5G44030,AT3G27650,-122.494852749788
AT5G44030,AT4G00150,-122.494852749788
AT5G44030,AT4G01250,-122.494852749788
AT5G44030,AT4G06746,-122.494852749788
AT5G44030,AT4G14540,-122.494852749788
