Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu,BDeu_lower_index,BDeu_upper_index
AT5G12870,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",5.0,6.0,-990.013335419,152,153
AT4G37260,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",6.0,6.0,-775.681733395,51,64
AT5G39610,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",3.0,6.0,-935.262120422,122,123
AT5G47220,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",3.0,6.0,-990.536583563,154,155
AT5G53950,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",6.0,6.0,-760.479928198,46,47
AT1G79840,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",4.0,6.0,-898.120651575,103,104
AT5G13330,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",6.0,6.0,-888.204744047,99,100
AT5G25890,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",5.0,6.0,-746.546633882,4,41
AT1G56650,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",5.0,6.0,-746.546633882,4,41
