Target,Source,BDeu
AT2G28110,AT2G28200,-159.364729563562
AT2G28110,AT3G56980,-165.872233687233
AT2G28110,AT5G53950,-169.217339558456
AT2G28110,AT3G06740,-170.151980201724
AT2G28110,AT1G03970,-186.61897056962
AT2G28110,AT3G56970,-186.778818082973
AT2G28110,AT5G19790,-190.285374361247
AT2G28110,AT5G22890,-190.285374361247
AT2G28110,AT5G58010,-190.285374361247
AT2G28110,AT3G11580,-190.285374361247
AT2G28110,AT4G01720,-190.285374361247
AT2G28110,AT1G67710,-190.585478731475
AT2G28110,AT1G43700,-192.77028015786
AT2G28110,AT3G16857,-192.77028015786
AT2G28110,AT3G50330,-194.051213697767
AT2G28110,AT5G03740,-194.051213697767
AT2G28110,AT1G36060,-194.051213697767
AT2G28110,AT1G43160,-194.051213697767
AT2G28110,AT3G03660,-194.051213697767
AT2G28110,AT3G58190,-194.051213697767
AT2G28110,AT1G49475,-194.051213697767
AT2G28110,AT1G71030,-194.051213697767
AT2G28110,AT1G77450,-194.051213697767
AT2G28110,AT2G25900,-194.051213697767
AT2G28110,AT3G01970,-194.051213697767
AT2G28110,AT3G16770,-194.051213697767
AT2G28110,AT3G60530,-194.051213697767
AT2G28110,AT4G00180,-194.051213697767
AT2G28110,AT4G00730,-194.051213697767
AT2G28110,AT4G29930,-194.051213697767
AT2G28110,AT5G12330,-194.051213697767
AT2G28110,AT5G17490,-194.051213697767
AT2G28110,AT5G51790,-194.051213697767
AT2G28110,AT1G56650,-194.051213697767
AT2G28110,AT1G74500,-194.051213697767
AT2G28110,AT2G40970,-194.051213697767
AT2G28110,AT3G03450,-194.051213697767
AT2G28110,AT3G17600,-194.051213697767
AT2G28110,AT3G27650,-194.051213697767
AT2G28110,AT4G00150,-194.051213697767
AT2G28110,AT4G01250,-194.051213697767
AT2G28110,AT4G06746,-194.051213697767
AT2G28110,AT4G14540,-194.051213697767
AT2G28110,AT4G27900,-194.051213697767
AT2G28110,AT4G29080,-194.051213697767
AT2G28110,AT4G39780,-194.051213697767
AT2G28110,AT5G25890,-194.051213697767
AT2G28110,AT1G10480,-194.051213697767
AT2G28110,AT1G28520,-194.051213697767
AT2G28110,AT1G30650,-194.051213697767
AT2G28110,AT1G50420,-194.051213697767
AT2G28110,AT1G72450,-194.051213697767
AT2G28110,AT1G75080,-194.051213697767
AT2G28110,AT1G79700,-194.051213697767
AT2G28110,AT2G04890,-194.051213697767
AT2G28110,AT2G14210,-194.051213697767
AT2G28110,AT2G18350,-194.051213697767
AT2G28110,AT2G23290,-194.051213697767
AT2G28110,AT2G24260,-194.051213697767
AT2G28110,AT2G40220,-194.051213697767
