Target,Source,BDeu
AT3G18660,AT1G18570,-785.561506887754
AT3G18660,AT5G17430,-859.98593512185
AT3G18660,AT3G10040,-860.679082246855
AT3G18660,AT1G34670,-867.193797904393
AT3G18660,AT5G03740,-875.370061631062
AT3G18660,AT3G60530,-875.370061631062
AT3G18660,AT4G00150,-875.370061631062
AT3G18660,AT4G06746,-875.370061631062
AT3G18660,AT2G40220,-875.370061631062
AT3G18660,AT2G44940,-875.370061631062
AT3G18660,AT3G16857,-887.106132258457
AT3G18660,AT3G15500,-888.022422790331
AT3G18660,AT5G58010,-888.492426119577
AT3G18660,AT4G00050,-888.492426119577
AT3G18660,AT1G75490,-889.408716484785
AT3G18660,AT5G61590,-898.266839018726
AT3G18660,AT3G56980,-900.633961577303
AT3G18660,AT1G43700,-902.42572043542
AT3G18660,AT3G06740,-902.648863953401
AT3G18660,AT4G30980,-902.713402452316
AT3G18660,AT1G65330,-903.236650429414
AT3G18660,AT5G43170,-903.812009429875
AT3G18660,AT3G50330,-903.81201429654
AT3G18660,AT1G36060,-903.81201429654
AT3G18660,AT1G43160,-903.81201429654
AT3G18660,AT3G03660,-903.81201429654
AT3G18660,AT3G58190,-903.81201429654
AT3G18660,AT1G71030,-903.81201429654
AT3G18660,AT1G77450,-903.81201429654
AT3G18660,AT2G25900,-903.81201429654
AT3G18660,AT3G01970,-903.81201429654
AT3G18660,AT3G16770,-903.81201429654
AT3G18660,AT4G00180,-903.81201429654
AT3G18660,AT4G00730,-903.81201429654
AT3G18660,AT4G29930,-903.81201429654
AT3G18660,AT5G12330,-903.81201429654
AT3G18660,AT5G17490,-903.81201429654
AT3G18660,AT5G51790,-903.81201429654
AT3G18660,AT1G56650,-903.81201429654
AT3G18660,AT1G74500,-903.81201429654
AT3G18660,AT2G40970,-903.81201429654
AT3G18660,AT3G17600,-903.81201429654
AT3G18660,AT3G27650,-903.81201429654
AT3G18660,AT3G56970,-903.81201429654
AT3G18660,AT4G01250,-903.81201429654
AT3G18660,AT4G14540,-903.81201429654
AT3G18660,AT4G27900,-903.81201429654
AT3G18660,AT4G29080,-903.81201429654
AT3G18660,AT4G39780,-903.81201429654
AT3G18660,AT5G22890,-903.81201429654
AT3G18660,AT5G25890,-903.81201429654
AT3G18660,AT1G10480,-903.81201429654
AT3G18660,AT1G28520,-903.81201429654
AT3G18660,AT1G30650,-903.81201429654
AT3G18660,AT1G50420,-903.81201429654
AT3G18660,AT1G72450,-903.81201429654
AT3G18660,AT1G75080,-903.81201429654
AT3G18660,AT1G79700,-903.81201429654
AT3G18660,AT2G04890,-903.81201429654
AT3G18660,AT2G14210,-903.81201429654
AT3G18660,AT2G23290,-903.81201429654
AT3G18660,AT2G24260,-903.81201429654
AT3G18660,AT3G18400,-903.81201429654
AT3G18660,AT3G24120,-903.81201429654
AT3G18660,AT4G37260,-903.81201429654
AT3G18660,AT5G07100,-903.81201429654
AT3G18660,AT5G13790,-903.81201429654
AT3G18660,AT5G21120,-903.81201429654
AT3G18660,AT5G57620,-903.81201429654
AT3G18660,AT5G60890,-903.81201429654
AT3G18660,AT5G61420,-903.81201429654
AT3G18660,AT1G49475,-903.81201429654
AT3G18660,AT3G03450,-903.81201429654
AT3G18660,AT3G11580,-903.81201429654
AT3G18660,AT1G67710,-905.709133692537
AT3G18660,AT3G29035,-906.637846666632
AT3G18660,AT5G46710,-915.260402740372
AT3G18660,AT5G23280,-915.730401036286
AT3G18660,AT2G28550,-915.730401036286
AT3G18660,AT1G03970,-915.953549920932
AT3G18660,AT5G47390,-916.934378785055
AT3G18660,AT1G17310,-917.850669150263
AT3G18660,AT4G37610,-918.032990629279
AT3G18660,AT1G65300,-918.438455626276
AT3G18660,AT4G28140,-919.236963178049
AT3G18660,AT2G23340,-919.64242800838
AT3G18660,AT3G15210,-919.64242800838
AT3G18660,AT1G28370,-921.005005853993
AT3G18660,AT2G47890,-929.545912705361
AT3G18660,AT1G64380,-929.886844236774
AT3G18660,AT4G01720,-932.253966962018
AT3G18660,AT4G36780,-932.253966962018
AT3G18660,AT5G44160,-932.253966962018
AT3G18660,AT2G36890,-932.253966962018
AT3G18660,AT5G53950,-932.764792496895
AT3G18660,AT1G09530,-933.247217935028
AT3G18660,AT5G19790,-933.863404341118
AT3G18660,AT5G14370,-934.163508633569
AT3G18660,AT1G74650,-934.962016185342
AT3G18660,AT1G27650,-935.655163199236
AT3G18660,AT2G18350,-936.060628196233
AT3G18660,AT5G59820,-936.060628196233
AT3G18660,AT5G66700,-937.041456893689
AT3G18660,AT2G28200,-947.796698656961
AT3G18660,AT5G13330,-948.084380507191
AT3G18660,AT5G39610,-948.895310667852
AT3G18660,AT2G31180,-950.792430063849
AT3G18660,AT5G60850,-954.129088079929
