Target,Source,BDeu
AT5G44030,AT1G75490,-59.1466555475865
AT5G44030,AT2G18350,-81.4231901589545
AT5G44030,AT4G28140,-81.4231901589545
AT5G44030,AT5G59820,-81.4231901589545
AT5G44030,AT5G66700,-81.4231901589545
AT5G44030,AT1G59750,-86.3358444932201
AT5G44030,AT3G15210,-92.8869243685016
AT5G44030,AT5G19790,-92.8869243685016
AT5G44030,AT5G53950,-94.1396872655684
AT5G44030,AT3G56980,-95.0951986613651
AT5G44030,AT1G03970,-95.9706673520523
AT5G44030,AT5G58010,-96.0507100571618
AT5G44030,AT1G27650,-96.0507100571618
AT5G44030,AT1G67710,-96.0507100571618
AT5G44030,AT3G50330,-96.7438572043884
AT5G44030,AT5G03740,-96.7438572043884
AT5G44030,AT1G36060,-96.7438572043884
AT5G44030,AT1G43160,-96.7438572043884
AT5G44030,AT2G23340,-96.7438572043884
AT5G44030,AT3G03660,-96.7438572043884
AT5G44030,AT3G58190,-96.7438572043884
AT5G44030,AT1G49475,-96.7438572043884
AT5G44030,AT1G71030,-96.7438572043884
AT5G44030,AT1G77450,-96.7438572043884
AT5G44030,AT2G25900,-96.7438572043884
AT5G44030,AT3G01970,-96.7438572043884
AT5G44030,AT3G16770,-96.7438572043884
AT5G44030,AT3G60530,-96.7438572043884
AT5G44030,AT4G00180,-96.7438572043884
AT5G44030,AT4G00730,-96.7438572043884
AT5G44030,AT4G29930,-96.7438572043884
AT5G44030,AT5G12330,-96.7438572043884
AT5G44030,AT5G17490,-96.7438572043884
AT5G44030,AT5G51790,-96.7438572043884
AT5G44030,AT1G56650,-96.7438572043884
AT5G44030,AT1G74500,-96.7438572043884
AT5G44030,AT2G40970,-96.7438572043884
AT5G44030,AT3G03450,-96.7438572043884
AT5G44030,AT3G17600,-96.7438572043884
AT5G44030,AT3G27650,-96.7438572043884
AT5G44030,AT3G56970,-96.7438572043884
AT5G44030,AT4G00150,-96.7438572043884
AT5G44030,AT4G01250,-96.7438572043884
AT5G44030,AT4G06746,-96.7438572043884
AT5G44030,AT4G14540,-96.7438572043884
AT5G44030,AT4G27900,-96.7438572043884
AT5G44030,AT4G29080,-96.7438572043884
AT5G44030,AT4G39780,-96.7438572043884
