Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu,BDeu_lower_index,BDeu_upper_index
AT1G36060,AT2G37090,IRX9,3.0,5.0,-132.764666148,68,87
AT2G23340,AT2G37090,IRX9,3.0,5.0,-162.721989509,175,181
AT4G37260,AT2G37090,IRX9,6.0,5.0,-133.457813016,87,96
AT3G15210,AT2G37090,IRX9,1.0,5.0,-191.293019133,192,196
AT3G04060,AT2G37090,IRX9,6.0,5.0,-161.335695773,147,158
AT3G02940,AT2G37090,IRX9,5.0,5.0,-132.764666148,68,87
AT3G11580,AT2G37090,IRX9,6.0,5.0,-147.743327828,126,146
AT1G06180,AT2G37090,IRX9,4.0,5.0,-147.05018096,106,126
AT1G56650,AT2G37090,IRX9,5.0,5.0,-133.457813016,87,96
