Target,Source,BDeu
AT2G22420,AT1G17310,-1.3863146242873
AT2G22420,AT2G36080,-16.8504841623338
AT2G22420,AT5G51780,-16.8504841623338
AT2G22420,AT5G13910,-19.4895393186072
AT2G22420,AT5G44260,-19.4895393186072
AT2G22420,AT5G67060,-19.4895393186072
AT2G22420,AT4G29930,-19.4895393186072
AT2G22420,AT5G10120,-19.4895393186072
AT2G22420,AT5G17810,-21.5044413916194
AT2G22420,AT3G02550,-23.178417273108
AT2G22420,AT1G06180,-25.9062694847051
AT2G22420,AT2G46990,-27.0589488086673
AT2G22420,AT3G60530,-31.580736933135
AT2G22420,AT5G03740,-34.2887870005003
AT2G22420,AT4G28110,-34.8834940870973
AT2G22420,AT4G00180,-34.8834940870973
AT2G22420,AT4G00730,-34.8834940870973
AT2G22420,AT5G57520,-35.9950935369612
AT2G22420,AT1G77450,-37.0171657209481
AT2G22420,AT1G49475,-37.4990037955295
AT2G22420,AT5G17490,-37.4990037955295
AT2G22420,AT2G45160,-38.4113341029513
AT2G22420,AT5G47220,-38.4113341029513
AT2G22420,AT5G51790,-38.4113341029513
AT2G22420,AT2G23340,-38.8441981738431
AT2G22420,AT3G58190,-39.6683735934766
AT2G22420,AT3G03660,-40.4427837130908
AT2G22420,AT1G53230,-40.4427837130908
AT2G22420,AT5G12330,-40.4427837130908
AT2G22420,AT3G01970,-41.5233626220869
AT2G22420,AT1G36060,-41.8642891930239
AT2G22420,AT3G49930,-42.7405213793521
AT2G22420,AT2G25900,-42.8360629999849
AT2G22420,AT3G50330,-43.739708859605
AT2G22420,AT3G16770,-43.739708859605
AT2G22420,AT1G43160,-44.8538788297401
AT2G22420,AT1G71030,-45.1180303734278
AT2G22420,AT3G56400,-45.1180303734278
AT2G22420,AT5G39610,-45.3768919741427
AT2G22420,AT5G41570,-46.1237653912371
AT2G22420,AT2G43140,-49.3823784768765
AT2G22420,AT5G53660,-53.4839042737562
AT2G22420,AT4G05100,-56.1206714847883
AT2G22420,AT1G74840,-56.4485985739695
AT2G22420,AT3G15210,-58.2527396644293
AT2G22420,AT3G61630,-58.2527396644293
AT2G22420,AT4G37540,-58.8550366857694
AT2G22420,AT5G23280,-59.1402526615297
AT2G22420,AT5G10970,-59.1402526615297
AT2G22420,AT1G67100,-59.1402526615297
AT2G22420,AT3G58710,-59.1402526615297
AT2G22420,AT1G42990,-59.2444635243207
AT2G22420,AT3G06740,-59.9442444264655
AT2G22420,AT1G64380,-60.3815290771351
AT2G22420,AT2G46970,-61.1920391453753
AT2G22420,AT4G31550,-61.542279463733
AT2G22420,AT5G53980,-61.7088044233347
AT2G22420,AT2G28550,-61.714677181614
AT2G22420,AT5G47640,-61.714677181614
AT2G22420,AT4G11140,-61.7570547627263
AT2G22420,AT5G47230,-61.9634784050113
AT2G22420,AT1G44830,-62.3654317179842
AT2G22420,AT1G79840,-62.5358209357648
AT2G22420,AT4G14550,-62.7538680037108
AT2G22420,AT5G64750,-62.7538680037108
AT2G22420,AT5G60850,-62.7721118679932
AT2G22420,AT1G25560,-62.921051398242
AT2G22420,AT5G06710,-62.9283400264401
AT2G22420,AT1G68840,-63.1989509641668
AT2G22420,AT3G15030,-63.7178142691211
AT2G22420,AT4G17500,-63.8833104689271
AT2G22420,AT3G23240,-64.3216602474069
AT2G22420,AT1G28370,-64.5078299296696
AT2G22420,AT1G52890,-64.688161114554
AT2G22420,AT5G08330,-64.688161114554
AT2G22420,AT4G09460,-64.688161114554
AT2G22420,AT1G57560,-64.7641987314149
AT2G22420,AT2G47890,-64.7641987314149
AT2G22420,AT5G48890,-64.7668331478823
AT2G22420,AT3G19580,-64.9550759909292
AT2G22420,AT3G10040,-65.0061800535972
AT2G22420,AT5G43170,-65.0903198314526
AT2G22420,AT4G16750,-65.145803395651
AT2G22420,AT3G60390,-65.1638218668599
AT2G22420,AT3G25730,-65.1740392258942
AT2G22420,AT1G47760,-65.2113361161649
