Row,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G03970,1,2,3,1,1,3,0,0,2,2,0,3,2,0,4,1,2,3,4,4,4
AT1G07640,0,1,2,3,0,2,1,0,4,2,0,1,1,2,4,2,3,4,3,4,3
AT1G09530,1,0,2,1,0,0,0,1,1,4,2,3,3,2,4,2,2,3,3,4,4
AT1G10480,2,4,4,3,4,4,3,3,2,2,3,2,1,0,2,1,1,0,1,0,0
AT1G12890,3,2,4,0,2,4,2,3,4,1,4,3,0,1,3,0,1,2,2,0,1
AT1G15050,2,2,2,1,3,0,2,4,3,3,1,0,0,1,1,0,2,4,4,4,3
AT1G18570,1,2,3,1,0,1,0,2,2,3,0,4,1,0,3,2,2,3,4,4,4
AT1G19180,0,1,0,3,2,0,1,2,2,4,2,4,2,0,3,1,1,3,3,4,4
AT1G21910,0,0,2,1,0,1,1,0,3,1,3,4,2,2,4,2,2,4,3,3,4
AT1G27650,2,2,1,3,3,1,3,1,1,0,2,0,2,0,0,3,4,2,4,4,4
AT1G27740,2,1,2,0,0,2,0,1,1,4,2,4,0,1,3,2,3,4,3,3,4
AT1G28520,1,0,2,1,0,2,0,0,2,2,1,4,3,1,4,2,3,4,3,3,4
AT1G30650,0,1,2,1,2,2,0,2,3,1,0,3,0,1,4,2,3,4,3,4,4
AT1G34670,2,4,3,2,4,3,2,4,0,1,2,1,3,2,4,1,1,3,0,0,0
AT1G43700,0,3,3,3,2,2,1,1,1,1,0,0,2,0,3,2,2,4,4,4,4
AT1G50420,1,0,1,0,0,2,1,0,3,1,2,4,2,2,4,2,3,4,3,3,4
AT1G59750,2,0,3,3,0,2,1,2,2,3,0,2,1,0,3,1,1,4,4,4,4
AT1G65300,3,0,3,2,0,2,1,0,2,0,0,0,2,1,3,2,4,3,4,4,4
AT1G65330,0,2,4,1,0,3,0,3,3,3,0,2,2,1,2,0,2,1,4,4,4
AT1G65620,1,2,4,2,3,3,4,4,4,3,2,3,0,2,1,1,1,2,0,0,0
AT1G67710,1,0,3,3,1,2,0,2,2,2,0,2,1,0,3,1,3,4,4,4,4
AT1G72450,0,2,1,1,0,2,0,1,3,2,1,4,2,0,4,2,3,4,3,4,3
AT1G73830,1,0,2,1,0,1,1,0,3,2,3,4,2,0,4,2,2,4,3,3,4
AT1G74650,1,0,3,1,0,2,0,1,2,3,1,3,2,0,4,2,2,4,3,4,4
AT1G75080,1,1,0,2,1,3,0,0,3,0,3,1,2,2,4,2,2,4,3,4,4
AT1G75490,1,1,0,3,1,0,2,4,2,4,1,0,3,0,2,2,2,3,4,4,3
AT1G77640,0,0,1,1,1,2,0,0,2,1,2,3,3,3,4,2,3,4,2,4,4
AT1G79700,0,1,2,2,2,1,1,0,0,3,0,1,3,2,3,4,3,2,4,4,4
AT2G04890,0,1,3,1,0,2,1,2,2,3,0,2,1,0,3,2,3,4,4,4,4
AT2G14210,2,1,2,0,1,2,0,0,0,1,2,3,1,2,4,3,3,4,3,4,4
