Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu,BDeu_lower_index,BDeu_upper_index
AT5G53950,AT5G44030,"CESA4,IRX5,NWS2",6.0,6.0,-400.345255043,25,26
AT5G47220,AT5G44030,"CESA4,IRX5,NWS2",3.0,6.0,-575.106527202,154,155
AT5G39610,AT5G44030,"CESA4,IRX5,NWS2",3.0,6.0,-502.745374122,115,116
AT5G12870,AT5G44030,"CESA4,IRX5,NWS2",5.0,6.0,-575.98199499,157,158
AT4G37260,AT5G44030,"CESA4,IRX5,NWS2",6.0,6.0,-403.38977629,36,74
AT1G75490,AT5G44030,"CESA4,IRX5,NWS2",6.0,6.0,-382.09892896,8,9
AT1G56650,AT5G44030,"CESA4,IRX5,NWS2",5.0,6.0,-403.38977629,36,74
