Target,Source,BDeu
AT5G17420,AT4G28140,-193.634333010843
AT5G17420,AT2G18350,-213.048265509288
AT5G17420,AT5G59820,-213.048265509288
AT5G17420,AT1G43700,-215.063168486867
AT5G17420,AT1G65300,-216.449462814653
AT5G17420,AT4G37610,-216.449462814653
AT5G17420,AT4G00050,-232.685341556824
AT5G17420,AT5G47390,-232.685341556824
AT5G17420,AT3G16857,-233.090806657524
AT5G17420,AT3G15500,-233.378488715161
AT5G17420,AT4G00180,-233.378488726273
AT5G17420,AT2G40970,-233.378488726273
AT5G17420,AT1G30650,-233.378488726273
AT5G17420,AT5G66700,-233.783953815862
AT5G17420,AT5G03740,-234.07163588461
AT5G17420,AT2G23340,-234.07163588461
AT5G17420,AT3G60530,-234.07163588461
AT5G17420,AT4G00150,-234.07163588461
AT5G17420,AT4G06746,-234.07163588461
AT5G17420,AT5G22890,-234.07163588461
AT5G17420,AT2G40220,-234.07163588461
AT5G17420,AT2G44940,-234.07163588461
AT5G17420,AT3G11580,-234.07163588461
AT5G17420,AT4G30980,-250.307514626781
AT5G17420,AT3G50330,-251.693808954567
AT5G17420,AT1G36060,-251.693808954567
AT5G17420,AT1G43160,-251.693808954567
AT5G17420,AT3G03660,-251.693808954567
AT5G17420,AT1G71030,-251.693808954567
AT5G17420,AT2G25900,-251.693808954567
AT5G17420,AT3G01970,-251.693808954567
AT5G17420,AT3G16770,-251.693808954567
AT5G17420,AT4G00730,-251.693808954567
AT5G17420,AT5G12330,-251.693808954567
AT5G17420,AT1G56650,-251.693808954567
AT5G17420,AT3G17600,-251.693808954567
AT5G17420,AT3G27650,-251.693808954567
AT5G17420,AT4G27900,-251.693808954567
AT5G17420,AT4G39780,-251.693808954567
AT5G17420,AT5G25890,-251.693808954567
AT5G17420,AT1G28520,-251.693808954567
AT5G17420,AT1G50420,-251.693808954567
AT5G17420,AT1G72450,-251.693808954567
AT5G17420,AT2G04890,-251.693808954567
AT5G17420,AT2G14210,-251.693808954567
AT5G17420,AT2G24260,-251.693808954567
AT5G17420,AT5G07100,-251.693808954567
AT5G17420,AT5G21120,-251.693808954567
AT5G17420,AT5G57620,-251.693808954567
AT5G17420,AT3G58190,-251.693808954567
AT5G17420,AT1G77450,-251.693808954567
AT5G17420,AT4G29930,-251.693808954567
AT5G17420,AT5G17490,-251.693808954567
AT5G17420,AT5G51790,-251.693808954567
AT5G17420,AT1G74500,-251.693808954567
AT5G17420,AT3G56970,-251.693808954567
AT5G17420,AT1G10480,-251.693808954567
AT5G17420,AT3G18400,-251.693808954567
AT5G17420,AT5G60890,-251.693808954567
AT5G17420,AT5G58010,-252.099274055268
AT5G17420,AT4G01720,-267.929687707848
AT5G17420,AT5G44160,-267.929687707848
AT5G17420,AT1G49475,-268.622834866186
AT5G17420,AT3G03450,-268.622834866186
AT5G17420,AT4G01250,-268.622834866186
AT5G17420,AT4G14540,-268.622834866186
AT5G17420,AT4G29080,-268.622834866186
AT5G17420,AT1G75080,-268.622834866186
AT5G17420,AT1G79700,-268.622834866186
AT5G17420,AT2G23290,-268.622834866186
AT5G17420,AT3G24120,-268.622834866186
AT5G17420,AT4G36780,-268.622834866186
AT5G17420,AT4G37260,-268.622834866186
AT5G17420,AT5G13790,-268.622834866186
AT5G17420,AT5G61420,-268.622834866186
AT5G17420,AT1G27650,-269.028299966887
AT5G17420,AT1G67710,-270.126912225925
AT5G17420,AT5G19790,-270.414594283562
AT5G17420,AT3G15210,-272.311714229189
AT5G17420,AT1G75490,-272.429497275957
AT5G17420,AT5G53950,-285.264178709057
AT5G17420,AT1G03970,-288.953058086875
AT5G17420,AT2G28200,-290.744817515362
AT5G17420,AT1G59750,-320.220842791334
AT5G17420,AT1G17310,-324.315187269852
AT5G17420,AT3G56980,-327.310919474517
AT5G17420,AT3G06740,-331.916089570876
AT5G17420,AT1G65620,-343.834480285436
AT5G17420,AT1G74650,-345.40309615372
AT5G17420,AT1G15050,-352.063991251067
AT5G17420,AT3G29035,-359.888037498219
AT5G17420,AT5G17430,-360.986649757258
AT5G17420,AT1G65330,-364.85785067187
AT5G17420,AT5G64750,-383.355492088069
AT5G17420,AT2G36890,-383.355492440662
AT5G17420,AT1G09530,-385.370395429352
AT5G17420,AT1G64380,-386.063542602505
AT5G17420,AT1G07640,-397.864149910297
AT5G17420,AT5G23280,-398.492758537868
AT5G17420,AT2G28550,-398.492758537868
AT5G17420,AT1G34670,-398.715902498811
AT5G17420,AT3G56400,-399.185906093242
AT5G17420,AT1G74840,-401.647096202339
AT5G17420,AT5G46710,-404.091180758347
AT5G17420,AT2G46990,-405.805979185699
AT5G17420,AT5G06250,-408.55485133021
AT5G17420,AT3G60630,-415.486322980254
AT5G17420,AT4G25470,-416.584935239292
AT5G17420,AT5G61590,-416.966684218561
AT5G17420,AT2G43140,-417.149005773873
AT5G17420,AT5G44260,-419.228447241479
AT5G17420,AT1G42990,-419.269269272296
AT5G17420,AT5G13330,-419.921594399817
AT5G17420,AT5G41570,-420.614741569266
AT5G17420,AT3G10040,-421.936497410729
AT5G17420,AT2G25820,-424.344442974196
AT5G17420,AT3G61630,-424.462226006149
AT5G17420,AT4G18890,-426.030841867026
AT5G17420,AT4G11140,-428.844252549712
AT5G17420,AT1G79840,-429.837504302722
AT5G17420,AT1G12890,-432.415348891873
AT5G17420,AT1G27740,-436.239117192509
AT5G17420,AT1G57560,-439.112382985465
AT5G17420,AT4G28110,-440.580321716366
AT5G17420,AT3G14230,-441.638111948292
AT5G17420,AT4G37540,-443.693836952984
AT5G17420,AT5G10970,-447.382716315987
AT5G17420,AT4G09460,-452.45789004011
AT5G17420,AT5G47640,-453.556502288037
AT5G17420,AT5G53660,-453.715107736732
AT5G17420,AT5G39610,-454.185111323756
AT5G17420,AT2G36080,-454.655114558187
AT5G17420,AT1G18570,-456.487696373787
AT5G17420,AT4G31550,-457.257804199187
AT5G17420,AT4G17500,-457.950951357525
AT5G17420,AT5G46690,-458.567137859911
AT5G17420,AT1G67100,-463.513234552129
AT5G17420,AT3G58710,-467.18969141143
AT5G17420,AT5G51780,-470.485528188545
AT5G17420,AT5G14370,-471.114137239079
AT5G17420,AT2G47890,-471.754039506601
AT5G17420,AT5G08330,-473.25811686634
AT5G17420,AT1G28370,-476.230132968092
AT5G17420,AT5G12870,-483.607891705209
AT5G17420,AT4G05100,-484.354283386954
AT5G17420,AT3G19580,-484.418821917721
AT5G17420,AT2G29060,-488.736310309036
AT5G17420,AT1G44830,-489.493995619622
AT5G17420,AT5G60850,-493.787767529504
AT5G17420,AT5G13910,-495.538704930878
AT5G17420,AT1G21910,-498.169794050844
AT5G17420,AT1G47760,-501.060165749481
AT5G17420,AT1G66140,-501.230064775166
AT5G17420,AT1G29160,-502.264138514548
AT5G17420,AT5G47220,-502.446460077268
AT5G17420,AT2G22430,-503.021824203653
AT5G17420,AT5G06710,-504.343580011783
AT5G17420,AT3G49930,-508.332563969459
AT5G17420,AT3G16350,-511.551440101734
AT5G17420,AT4G16750,-518.459195255531
AT5G17420,AT1G68840,-518.500017290052
AT5G17420,AT5G43170,-519.768528585886
AT5G17420,AT5G25190,-520.838741325217
AT5G17420,AT5G17810,-522.55353973405
AT5G17420,AT2G37740,-525.156229363939
AT5G17420,AT1G52890,-527.746496467903
AT5G17420,AT3G15030,-529.437578781229
AT5G17420,AT5G57520,-532.720993043531
AT5G17420,AT5G48890,-538.201631846133
AT5G17420,AT3G02940,-540.868859962344
AT5G17420,AT3G25730,-543.694693152436
AT5G17420,AT1G06180,-544.282479804746
AT5G17420,AT1G49130,-547.793721018118
AT5G17420,AT2G31180,-550.602448669937
AT5G17420,AT5G47230,-552.722712194285
AT5G17420,AT5G10120,-555.102258249156
AT5G17420,AT1G52830,-557.615564333466
AT5G17420,AT3G04060,-557.903246402214
AT5G17420,AT2G34140,-558.085567942711
AT5G17420,AT1G72360,-571.431075008467
AT5G17420,AT2G45160,-572.829791825141
AT5G17420,AT4G14550,-573.040512896457
AT5G17420,AT5G53980,-574.439229727945
AT5G17420,AT2G22770,-577.904965541856
AT5G17420,AT5G67060,-579.409042901596
AT5G17420,AT5G13080,-581.99931000556
AT5G17420,AT2G46970,-586.293081937664
AT5G17420,AT1G53230,-588.007880331682
AT5G17420,AT3G02550,-598.417510277117
AT5G17420,AT1G01380,-598.535293320181
AT5G17420,AT3G23240,-604.81912322246
AT5G17420,AT1G19180,-610.08904096856
AT5G17420,AT1G77640,-611.293013744738
AT5G17420,AT3G60390,-649.715413640925
AT5G17420,AT1G25560,-700.790173444531
AT5G17420,AT1G73830,-717.143835229764
