Target,Source,BDeu
AT4G18780,AT2G18350,-161.385719064484
AT4G18780,AT5G59820,-161.385719064484
AT4G18780,AT5G66700,-161.385719064484
AT4G18780,AT4G01720,-198.827289744697
AT4G18780,AT3G50330,-199.520436903034
AT4G18780,AT1G36060,-199.520436903034
AT4G18780,AT1G43160,-199.520436903034
AT4G18780,AT3G03660,-199.520436903034
AT4G18780,AT3G58190,-199.520436903034
AT4G18780,AT1G71030,-199.520436903034
AT4G18780,AT1G77450,-199.520436903034
AT4G18780,AT2G25900,-199.520436903034
AT4G18780,AT3G01970,-199.520436903034
AT4G18780,AT3G16770,-199.520436903034
AT4G18780,AT4G00730,-199.520436903034
AT4G18780,AT4G29930,-199.520436903034
AT4G18780,AT5G12330,-199.520436903034
AT4G18780,AT5G17490,-199.520436903034
AT4G18780,AT5G51790,-199.520436903034
AT4G18780,AT1G56650,-199.520436903034
AT4G18780,AT1G74500,-199.520436903034
AT4G18780,AT3G17600,-199.520436903034
AT4G18780,AT3G27650,-199.520436903034
AT4G18780,AT3G56970,-199.520436903034
AT4G18780,AT4G27900,-199.520436903034
AT4G18780,AT4G39780,-199.520436903034
AT4G18780,AT5G22890,-199.520436903034
AT4G18780,AT5G25890,-199.520436903034
AT4G18780,AT1G10480,-199.520436903034
AT4G18780,AT1G28520,-199.520436903034
AT4G18780,AT1G50420,-199.520436903034
AT4G18780,AT1G72450,-199.520436903034
AT4G18780,AT2G04890,-199.520436903034
AT4G18780,AT2G14210,-199.520436903034
AT4G18780,AT2G24260,-199.520436903034
AT4G18780,AT3G11580,-199.520436903034
AT4G18780,AT3G18400,-199.520436903034
AT4G18780,AT5G07100,-199.520436903034
AT4G18780,AT5G21120,-199.520436903034
AT4G18780,AT5G57620,-199.520436903034
AT4G18780,AT5G60890,-199.520436903034
AT4G18780,AT5G47390,-215.063168486867
AT4G18780,AT3G16857,-215.468633587568
AT4G18780,AT4G00050,-215.756315645205
AT4G18780,AT4G30980,-215.756315645205
AT4G18780,AT4G28140,-216.043997713953
AT4G18780,AT5G53950,-216.161780745905
AT4G18780,AT4G36780,-216.449462814653
AT4G18780,AT5G03740,-217.142609972991
AT4G18780,AT2G40220,-217.142609972991
AT4G18780,AT1G43700,-233.496271758225
AT4G18780,AT1G49475,-234.07163588461
AT4G18780,AT3G60530,-234.07163588461
AT4G18780,AT3G03450,-234.07163588461
AT4G18780,AT4G00150,-234.07163588461
AT4G18780,AT4G01250,-234.07163588461
AT4G18780,AT4G06746,-234.07163588461
AT4G18780,AT4G14540,-234.07163588461
AT4G18780,AT4G29080,-234.07163588461
AT4G18780,AT1G75080,-234.07163588461
AT4G18780,AT1G79700,-234.07163588461
AT4G18780,AT2G23290,-234.07163588461
AT4G18780,AT2G44940,-234.07163588461
AT4G18780,AT3G24120,-234.07163588461
AT4G18780,AT4G37260,-234.07163588461
AT4G18780,AT5G13790,-234.07163588461
AT4G18780,AT5G61420,-234.07163588461
AT4G18780,AT5G58010,-234.477100985311
AT4G18780,AT4G00180,-251.000661796229
AT4G18780,AT2G40970,-251.000661796229
AT4G18780,AT1G30650,-251.000661796229
AT4G18780,AT5G44160,-251.811591997631
AT4G18780,AT2G23340,-252.504739155969
AT4G18780,AT1G67710,-252.504739155969
AT4G18780,AT5G19790,-252.792421213606
AT4G18780,AT1G75490,-253.891033487459
AT4G18780,AT1G59750,-266.543393380062
AT4G18780,AT1G65300,-269.433765067588
AT4G18780,AT4G37610,-270.126912225925
AT4G18780,AT3G15500,-286.650473036844
AT4G18780,AT1G27650,-286.768256079908
AT4G18780,AT3G15210,-288.953058083171
AT4G18780,AT1G17310,-289.763988288276
AT4G18780,AT1G03970,-289.763988288276
AT4G18780,AT2G28200,-290.051670357024
AT4G18780,AT1G74650,-292.53657694385
AT4G18780,AT3G56980,-292.759720492941
AT4G18780,AT1G65620,-309.28328130386
AT4G18780,AT1G64380,-313.665307862237
AT4G18780,AT1G09530,-314.763920106461
AT4G18780,AT3G29035,-326.723132833319
AT4G18780,AT5G17430,-327.416279991657
AT4G18780,AT2G36890,-330.488973230791
AT4G18780,AT3G06740,-331.916089570876
AT4G18780,AT5G61590,-347.053356054008
AT4G18780,AT1G65330,-347.52335965955
AT4G18780,AT2G46990,-353.632607134166
AT4G18780,AT3G56400,-362.84294769429
AT4G18780,AT3G60630,-363.312950928721
AT4G18780,AT5G44260,-364.85785067187
AT4G18780,AT5G13330,-365.550997830207
AT4G18780,AT5G46710,-368.846834618434
AT4G18780,AT2G25820,-372.171070922664
AT4G18780,AT1G79840,-375.466907733112
AT4G18780,AT4G25470,-382.033736257716
AT4G18780,AT2G43140,-383.290953950635
AT4G18780,AT4G28110,-388.406949664834
AT4G18780,AT4G18890,-390.786495727112
AT4G18780,AT1G34670,-395.132383652948
AT4G18780,AT3G58710,-396.295534019791
AT4G18780,AT1G07640,-397.864149910297
AT4G18780,AT1G12890,-397.864149910297
AT4G18780,AT5G23280,-399.185905696205
AT4G18780,AT2G28550,-399.185905696205
AT4G18780,AT5G41570,-403.685715657647
AT4G18780,AT1G15050,-406.840052921377
AT4G18780,AT4G11140,-411.222079479755
AT4G18780,AT2G29060,-417.436687827807
AT4G18780,AT5G08330,-418.887520296731
AT4G18780,AT5G53660,-419.569373855857
AT4G18780,AT1G42990,-420.080199473697
AT4G18780,AT1G74840,-420.080199473697
AT4G18780,AT1G57560,-420.39159765647
AT4G18780,AT1G18570,-420.432420032472
AT4G18780,AT5G39610,-420.732524601218
AT4G18780,AT5G13910,-424.239082449649
AT4G18780,AT5G46690,-425.114551137374
AT4G18780,AT3G14230,-425.520016238075
AT4G18780,AT5G10970,-430.453690404368
AT4G18780,AT4G09460,-433.331639610414
AT4G18780,AT5G51780,-434.548034890294
AT4G18780,AT5G14370,-435.058860897763
AT4G18780,AT1G44830,-435.81654620835
AT4G18780,AT5G64750,-437.438406600042
AT4G18780,AT3G61630,-440.69810475943
AT4G18780,AT5G06250,-441.026608825662
AT4G18780,AT3G10040,-441.062747840426
AT4G18780,AT4G37540,-443.693836952984
AT4G18780,AT1G66140,-449.056692723633
AT4G18780,AT3G19580,-449.867622936145
AT4G18780,AT5G47640,-452.170207971362
AT4G18780,AT4G31550,-455.871509882511
AT4G18780,AT4G17500,-456.564657040849
AT4G18780,AT1G27740,-457.55016963658
AT4G18780,AT1G21910,-464.717207328307
AT4G18780,AT1G29160,-467.712939532972
AT4G18780,AT2G36080,-470.890993311468
AT4G18780,AT1G49130,-472.112071993327
AT4G18780,AT2G37740,-472.289710154068
AT4G18780,AT2G47890,-473.951264024678
AT4G18780,AT1G28370,-477.734210327831
AT4G18780,AT5G57520,-480.547620991999
AT4G18780,AT5G12870,-483.607891705209
AT4G18780,AT4G05100,-483.661136228617
AT4G18780,AT5G47220,-484.131139848973
AT4G18780,AT4G16750,-485.006608532994
AT4G18780,AT5G06710,-485.217329582087
AT4G18780,AT5G25190,-485.999860286004
AT4G18780,AT5G48890,-486.721406952938
AT4G18780,AT1G06180,-491.415960594875
AT4G18780,AT2G31180,-497.330464359366
AT4G18780,AT1G67100,-499.568510893444
AT4G18780,AT5G10120,-501.830273938585
AT4G18780,AT2G22430,-502.328677045315
AT4G18780,AT5G67060,-508.514885521068
AT4G18780,AT3G16350,-510.165145785059
AT4G18780,AT1G52890,-510.817470556284
AT4G18780,AT5G60850,-512.508552858499
AT4G18780,AT1G68840,-518.500017290052
AT4G18780,AT2G45160,-519.963272615271
AT4G18780,AT5G43170,-521.965753103962
AT4G18780,AT3G02940,-523.246686892387
AT4G18780,AT2G34140,-523.534368961135
AT4G18780,AT3G49930,-525.261589881078
AT4G18780,AT3G15030,-530.536191040268
AT4G18780,AT1G53230,-535.429043179449
AT4G18780,AT1G47760,-536.709976990096
