Target,Source,BDeu
AT5G15630,AT3G58190,-92.5589757249427
AT5G15630,AT3G50330,-92.5589757249427
AT5G15630,AT5G03740,-92.5589757249427
AT5G15630,AT1G36060,-92.5589757249427
AT5G15630,AT1G43160,-92.5589757249427
AT5G15630,AT2G23340,-92.5589757249427
AT5G15630,AT3G03660,-92.5589757249427
AT5G15630,AT3G15210,-139.366718887438
AT5G15630,AT5G44260,-155.550446813435
AT5G15630,AT1G42990,-155.719522491774
AT5G15630,AT1G74840,-155.719522491774
AT5G15630,AT3G06740,-157.454121887033
AT5G15630,AT5G41570,-165.476305923299
AT5G15630,AT5G23280,-166.068073086757
AT5G15630,AT2G28550,-166.068073086757
AT5G15630,AT1G64380,-166.401100596364
AT5G15630,AT5G39610,-171.329885932235
AT5G15630,AT3G61630,-172.139403609577
AT5G15630,AT5G10970,-176.357227002454
AT5G15630,AT4G37540,-176.357227002454
AT5G15630,AT5G47640,-182.427330423429
AT5G15630,AT4G28110,-186.485110729347
AT5G15630,AT4G17500,-186.646836371253
AT5G15630,AT4G31550,-186.646836371253
AT5G15630,AT5G08330,-186.766463866494
AT5G15630,AT4G11140,-190.924725369897
AT5G15630,AT1G28370,-200.443464824588
AT5G15630,AT1G57560,-203.74576086689
AT5G15630,AT5G13910,-212.174673934104
AT5G15630,AT5G60850,-217.160396905084
AT5G15630,AT5G53980,-220.946717867409
AT5G15630,AT4G16750,-226.300922452604
AT5G15630,AT5G06710,-227.448323371713
AT5G15630,AT5G67060,-228.864802245676
AT5G15630,AT3G60390,-229.018621293385
AT5G15630,AT1G68840,-232.129865970005
AT5G15630,AT3G10040,-232.412849787426
AT5G15630,AT5G43170,-232.832580516786
AT5G15630,AT5G47220,-234.384659001496
AT5G15630,AT3G25730,-235.688396348746
AT5G15630,AT1G25560,-239.647021934713
AT5G15630,AT3G49930,-239.741333713511
AT5G15630,AT2G46970,-241.014706616376
AT5G15630,AT1G67100,-242.919792862183
AT5G15630,AT3G19580,-244.220425994216
AT5G15630,AT2G45160,-247.787325756961
AT5G15630,AT1G52890,-254.358204847666
AT5G15630,AT5G47230,-269.359337822805
AT5G15630,AT3G23240,-275.640090440517
