Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu,BDeu_lower_index,BDeu_upper_index
AT5G12870,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",5.0,6.0,-114.241545104,137,139
AT4G37260,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",6.0,6.0,-48.8454991066,3,84
AT5G39610,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",3.0,6.0,-79.4304946014,107,109
AT5G47220,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",3.0,6.0,-152.522707357,195,196
AT5G53950,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",6.0,6.0,-48.8454991066,3,84
AT1G79840,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",4.0,6.0,-86.9791006758,119,122
AT5G13330,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",6.0,6.0,-79.4304946014,107,109
AT5G25890,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",5.0,6.0,-48.8454991066,3,84
AT1G56650,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",5.0,6.0,-48.8454991066,3,84
