Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu,BDeu_lower_index,BDeu_upper_index
AT1G36060,AT2G37090,IRX9,3.0,5.0,-18.7853297407,1.0,3.0
AT2G23340,AT2G37090,IRX9,3.0,5.0,-36.4461031481,24.0,31.0
AT4G37260,AT2G37090,IRX9,6.0,5.0,,,
AT3G15210,AT2G37090,IRX9,1.0,5.0,-36.4461031481,24.0,31.0
AT3G04060,AT2G37090,IRX9,6.0,5.0,,,
AT3G02940,AT2G37090,IRX9,5.0,5.0,-86.7139710387,102.0,103.0
AT3G11580,AT2G37090,IRX9,6.0,5.0,,,
AT1G06180,AT2G37090,IRX9,4.0,5.0,-86.9890167076,103.0,104.0
AT1G56650,AT2G37090,IRX9,5.0,5.0,-22.6139662459,3.0,4.0
