Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu,BDeu_lower_index,BDeu_upper_index
AT5G12870,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",5.0,6.0,-53.5659587431,119,121
AT4G37260,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",6.0,6.0,-33.4768235451,34,39
AT5G39610,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",3.0,6.0,-44.7482601328,91,93
AT5G47220,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",3.0,6.0,-93.0246823452,184,185
AT5G53950,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",6.0,6.0,-33.4768235451,34,39
AT1G79840,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",4.0,6.0,-51.4936797779,113,114
AT5G13330,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",6.0,6.0,-43.1031045046,77,85
AT5G25890,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",5.0,6.0,-37.6606882019,52,53
AT1G56650,AT4G18780,"ATCESA8,CESA8,IRX1,LEW2",5.0,6.0,-18.807308645,4,5
