Target,Source,BDeu
AT2G22420,AT5G53660,-889.526499687108
AT2G22420,AT1G17310,-901.955717106174
AT2G22420,AT2G43140,-918.479277887462
AT2G22420,AT5G51780,-935.590624922542
AT2G22420,AT5G23280,-956.431672306257
AT2G22420,AT2G28550,-956.431672306257
AT2G22420,AT3G50330,-970.024040068462
AT2G22420,AT1G36060,-970.024040068462
AT2G22420,AT1G43160,-970.024040068462
AT2G22420,AT3G03660,-970.024040068462
AT2G22420,AT1G71030,-970.024040068462
AT2G22420,AT2G25900,-970.024040068462
AT2G22420,AT3G01970,-970.024040068462
AT2G22420,AT3G16770,-970.024040068462
AT2G22420,AT4G00730,-970.024040068462
AT2G22420,AT5G12330,-970.024040068462
AT2G22420,AT3G58190,-970.024040068462
AT2G22420,AT1G77450,-970.024040068462
AT2G22420,AT4G29930,-970.024040068462
AT2G22420,AT5G17490,-970.024040068462
AT2G22420,AT5G51790,-970.024040068462
AT2G22420,AT2G36080,-981.942432230429
AT2G22420,AT4G28110,-985.120484727444
AT2G22420,AT1G42990,-999.6699651716
AT2G22420,AT5G57520,-1000.95089843928
AT2G22420,AT3G60530,-1001.86718902671
AT2G22420,AT1G49475,-1001.86718902671
AT2G22420,AT4G05100,-1002.51951366831
AT2G22420,AT3G19580,-1003.14812212773
AT2G22420,AT5G03740,-1004.86292026693
AT2G22420,AT4G00180,-1004.86292026693
AT2G22420,AT1G28370,-1013.78558096646
AT2G22420,AT2G46990,-1014.3609449447
AT2G22420,AT1G74840,-1015.50037888344
AT2G22420,AT5G47640,-1016.9636336857
AT2G22420,AT3G06740,-1017.18677720368
AT2G22420,AT3G61630,-1017.25131553593
AT2G22420,AT4G31550,-1017.25131570259
AT2G22420,AT4G37540,-1017.47445905391
AT2G22420,AT5G13910,-1017.6567803107
AT2G22420,AT5G10970,-1018.86075291503
AT2G22420,AT5G39610,-1028.69970414642
AT2G22420,AT5G47220,-1029.45738965923
AT2G22420,AT3G10040,-1029.79831599065
AT2G22420,AT5G60850,-1031.47229164644
AT2G22420,AT2G23340,-1031.91857907129
AT2G22420,AT4G17500,-1033.08172941443
AT2G22420,AT3G15210,-1033.4871940781
AT2G22420,AT1G57560,-1035.50209662086
AT2G22420,AT5G67060,-1036.1544212069
AT2G22420,AT3G56400,-1045.69326814585
AT2G22420,AT1G47760,-1047.4850268373
AT2G22420,AT5G48890,-1048.76596021609
AT2G22420,AT3G15030,-1049.56446754565
AT2G22420,AT3G58710,-1051.51483181172
AT2G22420,AT5G08330,-1054.69288453095
AT2G22420,AT1G79840,-1063.31544060469
AT2G22420,AT1G06180,-1063.90322702515
AT2G22420,AT3G02550,-1064.19090887538
AT2G22420,AT4G11140,-1064.23173113657
AT2G22420,AT5G17810,-1066.6112764707
AT2G22420,AT1G67100,-1067.00431869214
AT2G22420,AT1G44830,-1068.5083958667
AT2G22420,AT2G47890,-1079.14585431653
AT2G22420,AT5G53980,-1080.24446632742
AT2G22420,AT5G10120,-1080.42678780644
AT2G22420,AT5G06710,-1082.32390703577
AT2G22420,AT1G64380,-1084.92659588788
AT2G22420,AT5G44260,-1090.95888582951
AT2G22420,AT5G64750,-1095.15858967406
AT2G22420,AT4G09460,-1096.25720135161
AT2G22420,AT4G14550,-1111.3536460106
AT2G22420,AT2G45160,-1114.24401654627
AT2G22420,AT3G49930,-1115.44798942837
AT2G22420,AT1G53230,-1115.7356712786
AT2G22420,AT1G52890,-1117.93289496705
AT2G22420,AT3G23240,-1124.65833181146
AT2G22420,AT1G68840,-1128.45257077012
AT2G22420,AT5G43170,-1142.3858649193
AT2G22420,AT2G46970,-1143.77215861375
AT2G22420,AT4G16750,-1146.08716561563
AT2G22420,AT5G41570,-1158.11091809326
AT2G22420,AT5G47230,-1182.85157022907
AT2G22420,AT1G25560,-1200.65606411137
AT2G22420,AT3G60390,-1205.74365850216
AT2G22420,AT3G25730,-1206.43680534939
