Target,Source,BDeu
AT2G22420,AT1G17310,-529.645880236398
AT2G22420,AT2G43140,-566.446419750616
AT2G22420,AT5G51780,-566.734101820984
AT2G22420,AT5G47220,-567.021783885103
AT2G22420,AT2G36080,-568.408078233723
AT2G22420,AT5G53660,-570.605302771476
AT2G22420,AT1G36060,-588.515157918745
AT2G22420,AT1G43160,-588.515157918745
AT2G22420,AT3G03660,-588.515157918745
AT2G22420,AT1G71030,-588.515157918745
AT2G22420,AT2G25900,-588.515157918745
AT2G22420,AT3G01970,-588.515157918745
AT2G22420,AT3G16770,-588.515157918745
AT2G22420,AT4G00730,-588.515157918745
AT2G22420,AT5G12330,-588.515157918745
AT2G22420,AT3G58190,-588.515157918745
AT2G22420,AT1G77450,-588.515157918745
AT2G22420,AT4G29930,-588.515157918745
AT2G22420,AT5G17490,-588.515157918745
AT2G22420,AT5G51790,-588.515157918745
AT2G22420,AT5G44260,-622.713007785019
AT2G22420,AT4G28110,-625.315697432963
AT2G22420,AT3G50330,-626.296526677642
AT2G22420,AT5G23280,-628.088286111453
AT2G22420,AT2G28550,-628.088286111453
AT2G22420,AT3G60530,-628.493751221645
AT2G22420,AT4G00180,-628.493751221645
AT2G22420,AT5G57520,-643.225552573983
AT2G22420,AT1G42990,-644.088598778838
AT2G22420,AT1G49475,-644.899528986721
AT2G22420,AT1G57560,-646.691288426783
AT2G22420,AT3G56400,-658.820400131177
AT2G22420,AT5G10970,-660.899841641606
AT2G22420,AT5G39610,-661.305306739298
AT2G22420,AT4G17500,-661.998453919858
AT2G22420,AT4G31550,-661.998453919858
AT2G22420,AT4G11140,-663.384748255978
AT2G22420,AT1G06180,-664.195678451361
AT2G22420,AT1G74840,-664.483360527979
AT2G22420,AT5G03740,-664.601143567802
AT2G22420,AT1G28370,-676.324790162005
AT2G22420,AT2G23340,-678.404231684935
AT2G22420,AT3G19580,-679.215161874068
AT2G22420,AT4G37540,-680.195991118746
AT2G22420,AT3G06740,-680.601456222687
AT2G22420,AT5G06710,-682.393215668999
AT2G22420,AT2G46990,-682.393215668999
AT2G22420,AT1G79840,-683.374044901177
AT2G22420,AT3G10040,-697.700381155824
AT2G22420,AT3G15210,-699.492140602136
AT2G22420,AT5G47640,-699.492140602136
AT2G22420,AT1G47760,-699.897605699827
AT2G22420,AT5G67060,-716.015701394536
AT2G22420,AT3G02550,-716.996530626714
AT2G22420,AT1G44830,-721.678661791338
AT2G22420,AT5G13910,-733.807773495732
AT2G22420,AT4G05100,-734.213238593424
AT2G22420,AT5G48890,-735.194067831852
AT2G22420,AT3G61630,-735.599532948293
AT2G22420,AT5G10120,-735.887215012412
AT2G22420,AT2G45160,-737.678974439973
AT2G22420,AT5G64750,-737.796757492296
AT2G22420,AT5G08330,-739.183051828416
AT2G22420,AT3G58710,-739.183051828416
AT2G22420,AT5G60850,-752.00531070712
AT2G22420,AT4G09460,-754.895682425433
AT2G22420,AT1G64380,-755.994294697435
AT2G22420,AT5G53980,-759.865495641676
AT2G22420,AT3G15030,-771.589142248378
AT2G22420,AT5G41570,-771.99460735857
AT2G22420,AT2G47890,-772.975436590748
AT2G22420,AT4G16750,-774.479513966691
AT2G22420,AT5G17810,-774.884979070633
AT2G22420,AT1G52890,-775.172661134751
AT2G22420,AT5G43170,-787.419555885218
AT2G22420,AT5G47230,-788.805850227588
AT2G22420,AT3G23240,-792.389369101461
AT2G22420,AT1G67100,-793.082516275771
AT2G22420,AT2G46970,-808.795146872788
AT2G22420,AT1G53230,-810.99237141679
AT2G22420,AT1G68840,-814.170425192972
AT2G22420,AT3G49930,-814.863572361032
AT2G22420,AT1G25560,-824.507777469804
AT2G22420,AT4G14550,-882.396225901223
AT2G22420,AT3G25730,-933.117636572396
AT2G22420,AT3G60390,-936.295690348578
