Target,Source,BDeu
AT2G28110,AT2G28200,-1372.20990896675
AT2G28110,AT3G15210,-1372.90305589731
AT2G28110,AT5G53950,-1381.16870364622
AT2G28110,AT3G56980,-1386.71856708027
AT2G28110,AT1G74650,-1405.09842524637
AT2G28110,AT1G43700,-1407.9887962126
AT2G28110,AT3G56970,-1407.9887962126
AT2G28110,AT1G75490,-1419.6070834849
AT2G28110,AT1G27650,-1421.39884249579
AT2G28110,AT1G03970,-1422.09198942635
AT2G28110,AT1G67710,-1422.49745445113
AT2G28110,AT5G19790,-1424.00153143124
AT2G28110,AT1G36060,-1424.6946783618
AT2G28110,AT1G43160,-1424.6946783618
AT2G28110,AT3G03660,-1424.6946783618
AT2G28110,AT1G71030,-1424.6946783618
AT2G28110,AT2G25900,-1424.6946783618
AT2G28110,AT3G01970,-1424.6946783618
AT2G28110,AT3G16770,-1424.6946783618
AT2G28110,AT4G00730,-1424.6946783618
AT2G28110,AT5G12330,-1424.6946783618
AT2G28110,AT1G56650,-1424.6946783618
AT2G28110,AT3G17600,-1424.6946783618
AT2G28110,AT3G27650,-1424.6946783618
AT2G28110,AT4G27900,-1424.6946783618
AT2G28110,AT4G39780,-1424.6946783618
AT2G28110,AT5G25890,-1424.6946783618
AT2G28110,AT1G28520,-1424.6946783618
AT2G28110,AT1G50420,-1424.6946783618
AT2G28110,AT1G72450,-1424.6946783618
AT2G28110,AT2G04890,-1424.6946783618
AT2G28110,AT2G14210,-1424.6946783618
AT2G28110,AT2G24260,-1424.6946783618
AT2G28110,AT5G07100,-1424.6946783618
AT2G28110,AT5G21120,-1424.6946783618
AT2G28110,AT5G57620,-1424.6946783618
AT2G28110,AT3G58190,-1424.6946783618
AT2G28110,AT1G77450,-1424.6946783618
AT2G28110,AT4G29930,-1424.6946783618
AT2G28110,AT5G17490,-1424.6946783618
AT2G28110,AT5G51790,-1424.6946783618
AT2G28110,AT1G74500,-1424.6946783618
AT2G28110,AT1G10480,-1424.6946783618
AT2G28110,AT3G18400,-1424.6946783618
AT2G28110,AT5G60890,-1424.6946783618
AT2G28110,AT5G03740,-1426.48643724769
AT2G28110,AT2G23340,-1436.60064766488
AT2G28110,AT5G58010,-1439.89648353088
AT2G28110,AT4G14540,-1440.30194855565
AT2G28110,AT4G29080,-1440.30194855565
AT2G28110,AT1G79700,-1440.30194855565
AT2G28110,AT2G23290,-1440.30194855565
AT2G28110,AT3G24120,-1440.30194855565
AT2G28110,AT4G37260,-1440.30194855565
AT2G28110,AT5G13790,-1440.30194855565
AT2G28110,AT3G03450,-1440.30194855566
AT2G28110,AT3G60530,-1440.99509548621
AT2G28110,AT4G00150,-1440.99509548621
AT2G28110,AT5G22890,-1440.99509548621
AT2G28110,AT1G75080,-1440.99509548621
AT2G28110,AT4G30980,-1440.99509548621
AT2G28110,AT5G61420,-1440.99509548621
AT2G28110,AT1G49475,-1440.99509548622
AT2G28110,AT2G40220,-1440.99509548622
AT2G28110,AT2G44940,-1440.99509548622
AT2G28110,AT4G00050,-1441.68824241677
AT2G28110,AT4G01720,-1441.68824241677
AT2G28110,AT3G11580,-1441.68824241678
AT2G28110,AT1G65620,-1452.90106478929
AT2G28110,AT1G65300,-1453.30652981407
AT2G28110,AT3G16857,-1453.71199483884
AT2G28110,AT5G44160,-1453.71199483884
AT2G28110,AT3G50330,-1454.81060679418
AT2G28110,AT4G06746,-1454.81060679418
AT2G28110,AT1G30650,-1454.81060679418
AT2G28110,AT4G00180,-1455.50375372474
AT2G28110,AT4G01250,-1455.50375372474
AT2G28110,AT4G36780,-1455.50375372474
AT2G28110,AT4G37610,-1455.50375372474
AT2G28110,AT5G47390,-1455.50375372474
AT2G28110,AT2G40970,-1456.1969006553
AT2G28110,AT3G06740,-1466.71657609726
AT2G28110,AT2G36890,-1469.60694681349
AT2G28110,AT4G28140,-1469.60694693849
AT2G28110,AT2G18350,-1470.70555889382
AT2G28110,AT5G59820,-1470.70555889382
AT2G28110,AT5G66700,-1472.09185275494
AT2G28110,AT3G56400,-1483.99782218302
AT2G28110,AT1G65330,-1485.50189916313
AT2G28110,AT4G25470,-1487.58134020481
AT2G28110,AT3G60630,-1488.27448726037
AT2G28110,AT5G39610,-1498.21879839076
AT2G28110,AT1G59750,-1499.3174103461
AT2G28110,AT5G51780,-1500.46813859424
AT2G28110,AT1G12890,-1504.57490438479
AT2G28110,AT3G15500,-1513.82606858462
AT2G28110,AT5G13330,-1514.11375061541
AT2G28110,AT5G44260,-1515.61782759552
AT2G28110,AT4G37540,-1516.88633871265
AT2G28110,AT1G07640,-1519.08356262332
AT2G28110,AT5G46710,-1530.12648583404
AT2G28110,AT2G36080,-1532.78129093729
AT2G28110,AT5G10970,-1534.97851484796
AT2G28110,AT5G17430,-1544.22967892279
AT2G28110,AT3G29035,-1544.92282585335
AT2G28110,AT1G09530,-1546.02143780868
AT2G28110,AT3G61630,-1546.47901925126
AT2G28110,AT5G61590,-1547.81319706958
AT2G28110,AT5G23280,-1556.36652672428
AT2G28110,AT2G28550,-1556.36652672428
AT2G28110,AT1G18570,-1562.72732020788
AT2G28110,AT5G41570,-1563.42046701344
AT2G28110,AT5G46690,-1563.70814904422
AT2G28110,AT1G42990,-1564.85887741736
AT2G28110,AT1G64380,-1565.09444303034
AT2G28110,AT1G57560,-1571.85601417415
AT2G28110,AT1G34670,-1576.13736649107
AT2G28110,AT1G74840,-1578.96207063111
AT2G28110,AT3G14230,-1579.31541923808
AT2G28110,AT4G11140,-1583.76198347723
AT2G28110,AT5G47220,-1596.88434760463
AT2G28110,AT1G79840,-1600.18018359564
AT2G28110,AT4G17500,-1602.25962451232
AT2G28110,AT4G31550,-1602.25962451232
AT2G28110,AT2G46990,-1602.78287240608
AT2G28110,AT5G47640,-1602.95277144288
AT2G28110,AT4G28110,-1603.07055443687
AT2G28110,AT2G25820,-1603.07055443687
AT2G28110,AT2G29060,-1606.13551180446
AT2G28110,AT1G28370,-1608.67253403872
AT2G28110,AT4G05100,-1611.39300584316
AT2G28110,AT1G15050,-1612.60940079248
AT2G28110,AT1G66140,-1614.97652373994
AT2G28110,AT1G44830,-1615.26420577073
AT2G28110,AT5G10120,-1616.19291856427
AT2G28110,AT5G48890,-1616.76828262584
AT2G28110,AT5G06710,-1620.35180052263
AT2G28110,AT5G14370,-1623.12907585944
AT2G28110,AT4G18890,-1626.71259388123
AT2G28110,AT1G68840,-1627.00027616201
AT2G28110,AT5G12870,-1631.27694086436
AT2G28110,AT5G08330,-1631.56462289515
AT2G28110,AT1G17310,-1633.06869987526
AT2G28110,AT3G58710,-1634.86045876115
AT2G28110,AT5G13910,-1641.22125199475
AT2G28110,AT5G53980,-1645.38013407811
AT2G28110,AT2G22430,-1649.08143496889
AT2G28110,AT5G64750,-1650.18004704923
AT2G28110,AT1G06180,-1653.35809979624
AT2G28110,AT3G16350,-1653.6504693166
AT2G28110,AT2G47890,-1658.38471546153
AT2G28110,AT5G60850,-1660.17647434742
AT2G28110,AT5G25190,-1662.08601597731
AT2G28110,AT2G43140,-1663.8777752382
AT2G28110,AT5G53660,-1668.15443994055
AT2G28110,AT2G31180,-1673.41662134382
AT2G28110,AT1G49130,-1674.10976852438
AT2G28110,AT1G21910,-1675.09059761072
AT2G28110,AT5G57520,-1675.4960626355
AT2G28110,AT4G16750,-1676.71245733482
AT2G28110,AT4G14550,-1678.38643347673
AT2G28110,AT4G09460,-1678.7918985015
AT2G28110,AT3G10040,-1679.07958040729
