Target,Source,BDeu
AT2G37090,AT3G58190,-1408.45879949185
AT2G37090,AT1G77450,-1408.45879949185
AT2G37090,AT4G29930,-1408.45879949185
AT2G37090,AT5G17490,-1408.45879949185
AT2G37090,AT5G51790,-1408.45879949185
AT2G37090,AT1G74500,-1408.45879949185
AT2G37090,AT1G49475,-1422.96745773037
AT2G37090,AT3G03450,-1422.96745773037
AT2G37090,AT1G36060,-1424.57689524281
AT2G37090,AT1G43160,-1424.57689524281
AT2G37090,AT3G03660,-1424.57689524281
AT2G37090,AT1G71030,-1424.57689524281
AT2G37090,AT2G25900,-1424.57689524281
AT2G37090,AT3G01970,-1424.57689524281
AT2G37090,AT3G16770,-1424.57689524281
AT2G37090,AT4G00730,-1424.57689524281
AT2G37090,AT5G12330,-1424.57689524281
AT2G37090,AT1G56650,-1424.57689524281
AT2G37090,AT3G17600,-1424.57689524281
AT2G37090,AT3G27650,-1424.57689524281
AT2G37090,AT4G27900,-1424.57689524281
AT2G37090,AT4G39780,-1424.57689524281
AT2G37090,AT5G25890,-1424.57689524281
AT2G37090,AT4G00180,-1424.57689524281
AT2G37090,AT2G40970,-1424.57689524281
AT2G37090,AT4G01250,-1424.57689524281
AT2G37090,AT3G15210,-1436.37750401356
AT2G37090,AT3G56970,-1438.57472792423
AT2G37090,AT3G50330,-1439.08555348133
AT2G37090,AT5G03740,-1439.08555348133
AT2G37090,AT3G60530,-1439.08555348133
AT2G37090,AT4G00150,-1439.08555348133
AT2G37090,AT4G06746,-1439.08555348133
AT2G37090,AT4G14540,-1439.08555348133
AT2G37090,AT4G29080,-1439.08555348133
AT2G37090,AT2G23340,-1454.69282367519
AT2G37090,AT5G58010,-1470.58777577483
AT2G37090,AT5G22890,-1484.4032870828
AT2G37090,AT3G60630,-1488.15670414138
AT2G37090,AT5G19790,-1514.11375049041
AT2G37090,AT5G51780,-1533.76211989864
AT2G37090,AT4G25470,-1546.88448402604
AT2G37090,AT3G56400,-1562.3218550581
AT2G37090,AT5G44260,-1563.42046701344
AT2G37090,AT3G06740,-1565.09444303034
AT2G37090,AT5G64750,-1573.64777306004
AT2G37090,AT5G41570,-1576.42504827185
AT2G37090,AT2G36080,-1581.68254243555
AT2G37090,AT5G39610,-1590.64602447959
AT2G37090,AT1G74840,-1598.55832362154
AT2G37090,AT4G28110,-1604.05138327321
AT2G37090,AT1G64380,-1607.92727081535
AT2G37090,AT5G13910,-1611.91625361192
AT2G37090,AT4G05100,-1613.18476485405
AT2G37090,AT2G46990,-1617.17374752561
AT2G37090,AT2G25820,-1618.56004151173
AT2G37090,AT1G28370,-1627.17017507381
AT2G37090,AT4G17500,-1636.36453574126
AT2G37090,AT1G42990,-1642.48976336188
AT2G37090,AT3G61630,-1644.97466917834
AT2G37090,AT1G66140,-1646.07328100867
AT2G37090,AT5G47220,-1646.19106412766
AT2G37090,AT1G57560,-1647.57735811378
AT2G37090,AT5G48890,-1649.77458202445
AT2G37090,AT4G31550,-1651.97180593512
AT2G37090,AT5G47640,-1652.66495286568
AT2G37090,AT5G23280,-1654.0512467268
AT2G37090,AT2G28550,-1654.0512467268
AT2G37090,AT5G12870,-1660.5819392472
AT2G37090,AT4G37540,-1661.68055132753
AT2G37090,AT4G11140,-1661.68055132753
AT2G37090,AT4G09460,-1664.28324026298
AT2G37090,AT1G44830,-1672.20022676949
AT2G37090,AT5G08330,-1673.29883872483
AT2G37090,AT5G43170,-1673.99198565539
AT2G37090,AT1G68840,-1674.80291570494
AT2G37090,AT1G79840,-1676.59467446583
AT2G37090,AT2G22430,-1676.59467459083
AT2G37090,AT5G10120,-1677.00013924061
AT2G37090,AT1G17310,-1678.09875157094
AT2G37090,AT5G10970,-1678.38643347673
AT2G37090,AT2G43140,-1678.7918985015
AT2G37090,AT5G53660,-1684.86032208975
AT2G37090,AT5G57520,-1691.39101473514
AT2G37090,AT5G60850,-1691.79647975992
AT2G37090,AT5G06710,-1695.78546255648
AT2G37090,AT3G58710,-1696.88407451182
AT2G37090,AT2G47890,-1701.21754324654
AT2G37090,AT1G67100,-1708.38457879012
AT2G37090,AT3G10040,-1708.50236190911
AT2G37090,AT3G02550,-1711.27494963135
AT2G37090,AT2G37740,-1715.95707935847
AT2G37090,AT1G49130,-1719.42750225084
AT2G37090,AT3G15030,-1721.50694316752
AT2G37090,AT5G53980,-1722.20009009808
AT2G37090,AT3G19580,-1722.31787321707
AT2G37090,AT1G53230,-1722.31787321707
AT2G37090,AT4G14550,-1723.29870205342
AT2G37090,AT5G67060,-1727.57536675577
AT2G37090,AT1G47760,-1727.69314987476
AT2G37090,AT5G47230,-1734.34162538914
AT2G37090,AT1G29160,-1737.40189526717
AT2G37090,AT4G16750,-1738.21282494172
AT2G37090,AT5G17810,-1742.48949001907
AT2G37090,AT3G02940,-1742.48949001907
AT2G37090,AT1G06180,-1744.28124890496
AT2G37090,AT3G25730,-1757.69129518815
AT2G37090,AT2G22770,-1759.48305407405
AT2G37090,AT3G23240,-1769.71504761022
AT2G37090,AT1G72360,-1771.7944884019
AT2G37090,AT2G46970,-1780.52240495796
AT2G37090,AT1G01380,-1787.68944050154
AT2G37090,AT2G45160,-1796.94060482637
AT2G37090,AT1G52830,-1799.71319292361
AT2G37090,AT3G60390,-1812.83555730102
AT2G37090,AT3G49930,-1819.59712781982
AT2G37090,AT1G52890,-1834.10578605835
AT2G37090,AT1G25560,-1843.64463266396
