Target,Source,BDeu
AT3G18660,AT1G18570,-152.931039231572
AT3G18660,AT1G34670,-215.850741912861
AT3G18660,AT3G16857,-240.558537221419
AT3G18660,AT2G23340,-257.082098030486
AT3G18660,AT1G43700,-257.775245194379
AT3G18660,AT3G50330,-259.672365090932
AT3G18660,AT1G36060,-259.672365090932
AT3G18660,AT1G43160,-259.672365090932
AT3G18660,AT3G03660,-259.672365090932
AT3G18660,AT1G71030,-259.672365090932
AT3G18660,AT2G25900,-259.672365090932
AT3G18660,AT3G01970,-259.672365090932
AT3G18660,AT3G16770,-259.672365090932
AT3G18660,AT3G60530,-259.672365090932
AT3G18660,AT4G00180,-259.672365090932
AT3G18660,AT4G00730,-259.672365090932
AT3G18660,AT5G12330,-259.672365090932
AT3G18660,AT1G56650,-259.672365090932
AT3G18660,AT3G17600,-259.672365090932
AT3G18660,AT3G27650,-259.672365090932
AT3G18660,AT4G00150,-259.672365090932
AT3G18660,AT4G01250,-259.672365090932
AT3G18660,AT4G06746,-259.672365090932
AT3G18660,AT4G14540,-259.672365090932
AT3G18660,AT4G27900,-259.672365090932
AT3G18660,AT4G29080,-259.672365090932
AT3G18660,AT4G39780,-259.672365090932
AT3G18660,AT5G25890,-259.672365090932
AT3G18660,AT1G28520,-259.672365090932
AT3G18660,AT1G50420,-259.672365090932
AT3G18660,AT1G72450,-259.672365090932
AT3G18660,AT1G79700,-259.672365090932
AT3G18660,AT2G04890,-259.672365090932
AT3G18660,AT2G14210,-259.672365090932
AT3G18660,AT2G23290,-259.672365090932
AT3G18660,AT2G24260,-259.672365090932
AT3G18660,AT3G24120,-259.672365090932
AT3G18660,AT4G37260,-259.672365090932
AT3G18660,AT5G07100,-259.672365090932
AT3G18660,AT5G13790,-259.672365090932
AT3G18660,AT5G21120,-259.672365090932
AT3G18660,AT5G57620,-259.672365090932
AT3G18660,AT5G61420,-259.672365090932
AT3G18660,AT1G65300,-273.711019391877
AT3G18660,AT5G03740,-274.40416655577
AT3G18660,AT2G40970,-274.40416655577
AT3G18660,AT1G75080,-274.40416655577
AT3G18660,AT4G00050,-274.40416655577
AT3G18660,AT4G30980,-274.40416655577
AT3G18660,AT4G37610,-274.40416655577
AT3G18660,AT5G47390,-274.40416655577
AT3G18660,AT5G44160,-274.809631613878
AT3G18660,AT1G30650,-275.502778777772
AT3G18660,AT3G58190,-276.889073063891
AT3G18660,AT1G77450,-276.889073063891
AT3G18660,AT4G29930,-276.889073063891
AT3G18660,AT5G17490,-276.889073063891
AT3G18660,AT5G51790,-276.889073063891
AT3G18660,AT1G74500,-276.889073063891
AT3G18660,AT3G03450,-276.889073063891
AT3G18660,AT1G10480,-276.889073063891
AT3G18660,AT2G40220,-276.889073063891
AT3G18660,AT2G44940,-276.889073063891
AT3G18660,AT3G18400,-276.889073063891
AT3G18660,AT5G60890,-276.889073063891
AT3G18660,AT3G29035,-277.918692429525
AT3G18660,AT5G17430,-277.918692429525
AT3G18660,AT5G39610,-284.405234017717
AT3G18660,AT5G61590,-285.069794456067
AT3G18660,AT1G27650,-288.912824407628
AT3G18660,AT5G43170,-289.26523233196
AT3G18660,AT1G67710,-290.011436662962
AT3G18660,AT1G65330,-291.620874495396
AT3G18660,AT1G49475,-291.62087452873
AT3G18660,AT5G60850,-292.727454988555
AT3G18660,AT1G03970,-292.873637428178
AT3G18660,AT1G59750,-293.00716878985
AT3G18660,AT4G36780,-293.00716881485
AT3G18660,AT5G58010,-293.412633881291
AT3G18660,AT3G56970,-293.70031594541
AT3G18660,AT2G18350,-293.700315949576
AT3G18660,AT5G19790,-294.105781011851
AT3G18660,AT3G06740,-294.442253280258
AT3G18660,AT1G75490,-294.729935311043
AT3G18660,AT5G44260,-295.135400402485
AT3G18660,AT1G28370,-295.792179967644
AT3G18660,AT5G13330,-298.17992272116
AT3G18660,AT2G47890,-304.872502472486
AT3G18660,AT5G66700,-308.432117376915
AT3G18660,AT5G59820,-309.818411700535
AT3G18660,AT5G22890,-310.511558826928
AT3G18660,AT4G01720,-310.511558826928
AT3G18660,AT1G74840,-312.469891491656
AT3G18660,AT1G12890,-312.693035033804
AT3G18660,AT2G28200,-313.55608114977
AT3G18660,AT3G60630,-314.079329319924
AT3G18660,AT1G07640,-314.079329319924
AT3G18660,AT2G36890,-319.126332036088
AT3G18660,AT1G74650,-319.819479191648
AT3G18660,AT5G23280,-321.529594601558
AT3G18660,AT2G28550,-321.529594601558
AT3G18660,AT3G10040,-324.391795400106
AT3G18660,AT5G53950,-325.425681811894
AT3G18660,AT5G53660,-326.050023424329
AT3G18660,AT3G11580,-326.629654577886
AT3G18660,AT4G25470,-328.587987213448
AT3G18660,AT4G28140,-329.268711834287
AT3G18660,AT3G56980,-329.451033329414
AT3G18660,AT5G46710,-331.109261320304
AT3G18660,AT3G15210,-332.31323409463
AT3G18660,AT3G56400,-334.104993505524
AT3G18660,AT3G14230,-334.328137018505
AT3G18660,AT1G21910,-336.148067402637
AT3G18660,AT2G31180,-340.445352605482
AT3G18660,AT5G13910,-340.486174574725
AT3G18660,AT1G42990,-346.315520826007
AT3G18660,AT3G15500,-348.094857648014
AT3G18660,AT2G29060,-348.143647814803
AT3G18660,AT4G37540,-348.759605353775
AT3G18660,AT5G46690,-352.237992147025
AT3G18660,AT1G09530,-354.828259240804
AT3G18660,AT5G47640,-355.529374613355
AT3G18660,AT2G46970,-356.786591938866
AT3G18660,AT1G47760,-360.029184112018
AT3G18660,AT1G57560,-361.618419284039
AT3G18660,AT5G64750,-363.921004280367
AT3G18660,AT4G11140,-365.388526715166
AT3G18660,AT3G61630,-366.641289614614
AT3G18660,AT1G64380,-367.66294078409
AT3G18660,AT1G65620,-369.049235061877
AT3G18660,AT5G51780,-369.308933646557
AT3G18660,AT2G36080,-369.308933646557
AT3G18660,AT3G16350,-370.147847292211
AT3G18660,AT5G41570,-370.435529322996
AT3G18660,AT5G47220,-378.652805736872
AT3G18660,AT2G43140,-381.109541435646
AT3G18660,AT4G28110,-381.543177340601
AT3G18660,AT5G14370,-381.766133602839
AT3G18660,AT1G15050,-382.710595196006
AT3G18660,AT1G17310,-382.901300854874
AT3G18660,AT5G10970,-383.768385440431
AT3G18660,AT4G09460,-387.254740513172
AT3G18660,AT1G79840,-387.413345550015
AT3G18660,AT5G06710,-389.962790588441
AT3G18660,AT4G31550,-393.315614299509
AT3G18660,AT4G17500,-394.008761430069
AT3G18660,AT2G46990,-395.309897903444
AT3G18660,AT2G25820,-395.309897903444
AT3G18660,AT2G22430,-397.871994158709
AT3G18660,AT3G19580,-400.511051410943
AT3G18660,AT5G12870,-402.489586588862
AT3G18660,AT4G18890,-407.443464106124
AT3G18660,AT4G05100,-410.329381436567
AT3G18660,AT3G23240,-414.42372574379
AT3G18660,AT5G25190,-414.687691321846
AT3G18660,AT5G48890,-415.088702106669
AT3G18660,AT1G44830,-416.706108146371
AT3G18660,AT5G10120,-416.99027630984
AT3G18660,AT5G08330,-418.315545978805
AT3G18660,AT1G66140,-418.60768233982
AT3G18660,AT3G60390,-421.534421668673
AT3G18660,AT1G06180,-423.143859526107
AT3G18660,AT3G02550,-424.424793301569
AT3G18660,AT3G58710,-424.460745039665
AT3G18660,AT3G15030,-425.312497277901
AT3G18660,AT2G45160,-432.297441915416
AT3G18660,AT3G02940,-439.038811705751
AT3G18660,AT3G04060,-439.849741846968
AT3G18660,AT1G68840,-441.179278606531
AT3G18660,AT1G01380,-442.375470422943
AT3G18660,AT5G67060,-443.8263032352
AT3G18660,AT1G67100,-445.460398839111
AT3G18660,AT1G49130,-449.027040759838
AT3G18660,AT1G77640,-450.397586728275
AT3G18660,AT5G57520,-452.477028203289
AT3G18660,AT1G29160,-453.616462426477
AT3G18660,AT5G17810,-453.77061317059
AT3G18660,AT2G37740,-455.449043838559
AT3G18660,AT4G14550,-463.337628815552
AT3G18660,AT5G47230,-466.779648036457
AT3G18660,AT4G16750,-467.670865004827
AT3G18660,AT1G19180,-468.125120340834
AT3G18660,AT1G72360,-469.965669889351
AT3G18660,AT1G53230,-474.740738877134
AT3G18660,AT5G53980,-476.642313922251
AT3G18660,AT5G06250,-487.575420412087
AT3G18660,AT2G34140,-490.506614112837
AT3G18660,AT1G52830,-490.976617663749
AT3G18660,AT2G22770,-493.279202676743
AT3G18660,AT5G13080,-494.888640509177
AT3G18660,AT3G49930,-495.022171862516
AT3G18660,AT1G27740,-500.425850331389
AT3G18660,AT1G73830,-511.635344881225
AT3G18660,AT1G25560,-522.077829285208
AT3G18660,AT1G52890,-528.916591396989
AT3G18660,AT3G25730,-576.354587947989
