Row,t0,t1,t2,t3,t4,t5,t6
AT1G06180,1,1,1,1,0,0,0
AT1G17310,0,0,0,1,1,1,1
AT1G44830,0,0,0,1,1,1,1
AT1G47760,1,1,0,0,0,0,1
AT1G49475,1,1,1,1,0,0,0
AT1G53230,0,0,1,1,1,1,0
AT1G71030,0,0,0,0,1,1,1
AT1G77450,1,1,1,0,0,0,0
AT1G79840,1,1,1,0,0,1,1
AT2G25900,0,0,0,0,1,1,1
AT2G36080,0,0,0,0,1,1,1
AT2G43140,0,0,0,1,1,1,1
AT2G46990,0,0,0,0,1,1,1
AT2G47890,1,1,1,0,0,0,1
AT3G01970,0,0,0,0,1,1,1
AT3G02550,0,0,0,1,1,1,1
AT3G15030,0,0,1,0,1,1,0
AT3G16770,0,0,0,0,0,1,1
AT3G56400,0,0,0,1,1,1,1
AT3G58710,1,1,0,0,0,1,1
AT3G60530,0,0,1,0,1,1,1
AT4G00180,0,0,1,0,1,1,1
AT4G00730,0,0,0,0,1,1,1
AT4G05100,1,1,1,1,0,0,0
AT4G09460,1,1,1,0,0,0,1
AT4G14550,1,1,1,0,0,0,1
AT4G29930,1,1,1,1,0,0,0
AT5G10120,1,1,1,1,0,0,0
AT5G12330,0,0,0,0,1,1,1
AT5G17490,1,1,1,1,0,0,0
AT5G17810,1,1,1,1,0,0,0
AT5G48890,0,0,1,1,1,1,1
AT5G51780,1,1,1,1,0,0,0
AT5G51790,1,1,1,1,0,0,0
AT5G53660,0,0,0,1,1,1,1
AT5G57520,0,0,0,0,1,1,1
AT5G64750,0,0,0,1,1,1,0
