Target,Source,BDeu
AT2G22420,AT3G58190,-34.2996725927549
AT2G22420,AT5G10120,-34.2996725927549
AT2G22420,AT2G34140,-37.5185466398465
AT2G22420,AT4G18890,-37.5185466398465
AT2G22420,AT5G60890,-37.5185466398465
AT2G22420,AT1G28520,-56.7093340684588
AT2G22420,AT3G11580,-56.7093340684588
AT2G22420,AT5G44260,-65.1211704664373
AT2G22420,AT5G17490,-65.1211704664373
AT2G22420,AT2G22770,-66.7306074899831
AT2G22420,AT3G24120,-66.7306074899831
AT2G22420,AT3G50330,-68.1169010177703
AT2G22420,AT4G28110,-68.1169010177703
AT2G22420,AT5G47220,-68.1169010177703
AT2G22420,AT1G49475,-68.1169010177703
AT2G22420,AT1G77450,-68.1169010177703
AT2G22420,AT2G25900,-68.1169010177703
AT2G22420,AT2G46990,-68.1169010177703
AT2G22420,AT4G00180,-68.1169010177703
AT2G22420,AT4G29930,-68.1169010177703
AT2G22420,AT5G17810,-68.1169010177703
AT2G22420,AT5G51780,-68.1169010177703
AT2G22420,AT5G51790,-68.1169010177703
AT2G22420,AT4G00150,-68.1169010177703
AT2G22420,AT5G47390,-68.1169010177703
AT2G22420,AT1G44830,-68.8100479205525
AT2G22420,AT3G16770,-68.8100479205525
AT2G22420,AT1G29160,-68.8100479205525
AT2G22420,AT1G10480,-68.8100479205525
AT2G22420,AT2G44940,-68.8100479205525
AT2G22420,AT5G13910,-69.2155128434756
AT2G22420,AT5G43170,-69.2155128434756
AT2G22420,AT5G12330,-69.2155128434756
AT2G22420,AT2G25820,-69.2155128434756
AT2G22420,AT3G56970,-69.2155128434756
AT2G22420,AT4G01250,-69.2155128434756
AT2G22420,AT5G12870,-69.2155128434756
AT2G22420,AT1G65620,-69.2155128434756
AT2G22420,AT2G40220,-69.2155128434756
AT2G22420,AT3G18400,-69.2155128434756
AT2G22420,AT3G56980,-69.2155128434756
AT2G22420,AT4G37260,-69.2155128434756
AT2G22420,AT5G25190,-69.2155128434756
AT2G22420,AT5G46690,-69.2155128434756
AT2G22420,AT4G17500,-70.4194849440983
AT2G22420,AT5G53980,-70.4194849440983
AT2G22420,AT5G03740,-70.4194849440984
AT2G22420,AT5G60850,-70.4194849440984
AT2G22420,AT3G15030,-70.4194849440984
AT2G22420,AT4G27900,-70.4194849440984
AT2G22420,AT1G72450,-70.4194849440984
AT2G22420,AT1G28370,-70.824949589244
AT2G22420,AT1G43160,-70.824949589244
AT2G22420,AT3G23240,-70.824949589244
AT2G22420,AT2G36080,-70.824949589244
AT2G22420,AT5G57520,-70.824949589244
AT2G22420,AT1G74500,-70.824949589244
AT2G22420,AT2G40970,-70.824949589244
AT2G22420,AT3G02940,-70.824949589244
AT2G22420,AT3G03450,-70.824949589244
AT2G22420,AT4G30980,-70.824949589244
AT2G22420,AT5G46710,-70.824949589244
AT2G22420,AT1G25560,-71.5180964920263
AT2G22420,AT1G36060,-71.5180964920263
AT2G22420,AT3G25730,-71.5180964920263
AT2G22420,AT3G49930,-71.5180964920263
AT2G22420,AT5G67060,-71.5180964920263
AT2G22420,AT1G17310,-71.5180964920263
AT2G22420,AT1G71030,-71.5180964920263
AT2G22420,AT3G01970,-71.5180964920263
AT2G22420,AT4G00730,-71.5180964920263
AT2G22420,AT4G05100,-71.5180964920263
AT2G22420,AT5G53660,-71.5180964920263
AT2G22420,AT1G56650,-71.5180964920263
AT2G22420,AT3G27650,-71.5180964920263
AT2G22420,AT4G14540,-71.5180964920263
AT2G22420,AT4G29080,-71.5180964920263
AT2G22420,AT1G75080,-71.5180964920263
AT2G22420,AT5G13790,-71.5180964920263
AT2G22420,AT5G61420,-71.5180964920263
AT2G22420,AT3G10040,-71.5180967698037
AT2G22420,AT3G03660,-71.5180967698037
AT2G22420,AT3G02550,-71.5180967698037
AT2G22420,AT5G48890,-71.5180967698037
AT2G22420,AT1G77640,-71.5180967698037
AT2G22420,AT2G24260,-71.5180967698037
AT2G22420,AT3G14230,-71.5180967698037
AT2G22420,AT5G13330,-71.5180967698037
AT2G22420,AT4G28140,-83.436489194733
AT2G22420,AT5G59820,-83.436489194733
AT2G22420,AT2G47890,-83.436489194733
AT2G22420,AT3G60630,-83.436489194733
AT2G22420,AT1G52830,-85.2282476454432
AT2G22420,AT2G22430,-85.2282476454432
AT2G22420,AT3G17600,-85.2282476454432
AT2G22420,AT4G06746,-85.2282476454432
AT2G22420,AT4G39780,-85.2282476454432
AT2G22420,AT1G27650,-85.2282476454432
AT2G22420,AT2G14210,-85.2282476454432
AT2G22420,AT2G23290,-85.2282476454432
AT2G22420,AT1G52890,-85.2282476454432
AT2G22420,AT1G57560,-85.2282476454432
AT2G22420,AT2G23340,-85.2282476454432
AT2G22420,AT2G45160,-85.2282476454432
AT2G22420,AT3G60390,-85.2282476454432
AT2G22420,AT5G41570,-85.2282476454432
AT2G22420,AT1G06180,-85.2282476454432
AT2G22420,AT1G53230,-85.2282476454432
AT2G22420,AT3G60530,-85.2282476454432
AT2G22420,AT4G14550,-85.2282476454432
AT2G22420,AT1G03970,-85.2282476454432
AT2G22420,AT1G09530,-85.2282476454432
AT2G22420,AT1G12890,-85.2282476454432
AT2G22420,AT1G79700,-85.2282476454432
AT2G22420,AT5G66700,-85.2282476454432
AT2G22420,AT3G15210,-85.9213945482255
AT2G22420,AT3G61630,-85.9213945482255
AT2G22420,AT5G39610,-85.9213945482255
AT2G22420,AT3G56400,-85.9213945482255
AT2G22420,AT5G22890,-85.9213945482255
AT2G22420,AT5G25890,-85.9213945482255
AT2G22420,AT1G21910,-85.9213945482255
AT2G22420,AT1G50420,-85.9213945482255
AT2G22420,AT1G74650,-85.9213945482255
AT2G22420,AT2G29060,-85.9213945482255
AT2G22420,AT2G31180,-85.9213945482255
AT2G22420,AT3G04060,-85.9213945482255
AT2G22420,AT3G15500,-85.9213945482255
AT2G22420,AT5G06250,-85.9213945482255
AT2G22420,AT5G07100,-85.9213945482255
AT2G22420,AT5G13080,-85.9213945482255
AT2G22420,AT5G21120,-85.9213945482255
AT2G22420,AT4G16750,-86.6145411732304
AT2G22420,AT3G19580,-86.6145411732304
AT2G22420,AT5G47230,-86.6145411732304
AT2G22420,AT2G43140,-86.6145411732304
AT2G22420,AT3G58710,-86.6145411732304
AT2G22420,AT4G09460,-86.6145411732304
AT2G22420,AT1G49130,-86.6145411732304
AT2G22420,AT1G66140,-86.6145411732304
AT2G22420,AT1G65300,-86.6145411732304
AT2G22420,AT1G65330,-86.6145411732304
AT2G22420,AT4G37610,-86.6145411732304
AT2G22420,AT5G19790,-98.5329338759371
AT2G22420,AT4G31550,-99.3438637217832
AT2G22420,AT4G00050,-99.3438637217832
AT2G22420,AT5G44160,-99.3438637217832
AT2G22420,AT1G47760,-99.9192274037242
AT2G22420,AT1G34670,-99.9192274037242
AT2G22420,AT2G04890,-99.9192274037242
AT2G22420,AT5G53950,-99.9192274037242
AT2G22420,AT3G06740,-101.017838951652
AT2G22420,AT5G06710,-101.017838951652
AT2G22420,AT5G47640,-101.017838951652
AT2G22420,AT2G37740,-101.017838951652
AT2G22420,AT5G58010,-101.017838951652
AT2G22420,AT1G30650,-101.017838951652
AT2G22420,AT1G67710,-101.017838951652
AT2G22420,AT2G28550,-101.135622172493
AT2G22420,AT5G64750,-101.135622172493
AT2G22420,AT1G43700,-101.135622172493
AT2G22420,AT2G18350,-101.135622172493
AT2G22420,AT2G36890,-101.135622172493
AT2G22420,AT3G29035,-101.135622172493
AT2G22420,AT5G17430,-101.135622172493
AT2G22420,AT1G42990,-101.423303874575
AT2G22420,AT1G68840,-101.423303874575
